,sentence_2,sentence_2_bert
6155,Magnet 은 화면 분할을 단축키로 0.3초만에 착착 할 수 있게 되는 앱입니다.,Magnet 은 화면 분할을 통해 최대 단축키로 0. 3초만에 착착 할 수 있게 되는 앱입니다.
6156,뉴스가 오히려 힐링이 된다는 ㅎㅎ,뉴스가 오히려 힐링이 된다는. ㅎㅎ
6160,압박에 의한 아이들의 보호를 간절히 바라며,압박에 의한 아이들의 안전 보호를 간절히 바라며
6168,여성도 군대를 의무적으로 가야합니다 페미니즘의 출발선,여성도 군대를 의무적으로 타고 가야합니다 페미니즘의 출발선
6169,알프레드 히치콕 찰리 채플린 등 제가 흑백영화를 정말정말 좋아하는데 정말 재밌게 봤어요,"알프레드, 히치콕 찰리 채플린 등 제가 흑백영화를 정말정말 좋아하는데 정말 재밌게 잘 봤어요"
6170,내용 괜찮고 아주 흥미로왔어요.,내용 괜찮고 아주 큰 흥미로왔어요.
6185,와 닭갈비와 막국수... 조합... 사기죠 ㅎ,와 닭갈비와 그리고 막국수... 조합... 사기죠 ㅎ
6186,제가 생각하는 주요 챕터를 일부 발췌합니다.,제가 항상 생각하는 주요 챕터를 일부 발췌합니다.
6194,정말 무섭게도 실제 이야기의 주인공들은 대부분 보호관찰 처분만을 받았습니다,정말 무섭게도 실제 이야기의 주인공들은 거의 대부분 보호관찰 처분만을 받았습니다
6200,전 개인적으로 별로였네요 아동용에 왜이리 열광하는 줄 모르겠네요,전 개인적으로 별로였네요 아동용에 왜이리까 열광하는 줄 모르겠네요
6207,분발해서 찍고 싶어지네요 ㅎㅎ,분발해서 찍고 싶어지네요. ㅎㅎ
6211,의료용 대마 합법화(오찬희 법) 의결을 촉구합니다.,또 의료용 대마 합법화 ( 오찬희 법 ) 의결을 촉구합니다.
6229,재정신으로는 절대 만들 수 없다.,재정신으로는 절대 만들 수는 없다.
6252,찾고 있는데 쉽지 않네요,찾고는 있는데 쉽지 않네요
6257,대한민국에서 의료용 대마를 사용 할수있게 허가해주세요,대한민국에서 의료용 대마를 사용 할수있게끔 허가해주세요
6270,역시 숨길 수 없나봐요ㅎㅎ,"역시, 숨길 수 없나봐요ㅎㅎ"
6274,다시 나타날 수 없는 작품,이후 다시 나타날 수 없는 작품
6288,~~~~~~~~~~~ 가상화폐 ~폐쇄 청원합니다 ~~~~~~~~~~~~~~~~~~~~,~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 가상화폐 ~ ~ 폐쇄 청원합니다 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
6291,직장내 상사의 갑질과 과도한 회식후 벌어지는 환락에 금지를 직장인들의 동참을 기다립니다,직장내 상사의 갑질과 과도한 회식후 벌어지는 환락에 금지를 위한 모든 직장인들의 동참을 기다립니다
6311,중학교이하 핸드폰 8시 이후에는 인터넷 사용 못하게 법으로 막아주세요.,중학교이하 핸드폰 8시 이후에는 인터넷 사용을 못하게 법으로 막아주세요.
6316,Phum Viphurit 좋죠 ㅠ,Phum Viphurit 너무 좋죠 ㅠ
6321,체력이 다하지 않는다면 참석할게요.,체력이 거의 다하지 않는다면 참석할게요.
6335,흙에 숨어있던 버섯이 자라는 진기한 장면을 볼 수 있었습니다 ㅋㅋㅋ,흙에 숨어있던 버섯이 쑥쑥 자라는 아주 진기한 장면을 볼 수 있었습니다 ㅋㅋㅋ
6337,앗 저도 이거 해봤어요 ㅋㅋ 귀엽 ㅎㅎ,앗 ~ 저도 이거 해봤어요 ㅋㅋ 귀엽 ㅎㅎ
6342,이게 MTB용이지만 신발이랑 접지가 넓어서 효율이 좋다고 합니다.,이게 MTB용이지만 신발이랑 접지가 넓어서 효율이 굉장히 좋다고 합니다.
6343,"한국철도시설공단은 국민의 행복추구권, 기본권을 보장하라","한국철도시설공단은 국민의 행복추구권, 기본권을 반드시 보장하라"
6348,대부분의 삶은 이런 것들이 혼재되어 있다.,대부분의 우리 삶은 이런 것들이 혼재되어 있다.
6355,"지하철 남성전용칸, 남성전용 버스가 필요합니다","지하철 남성전용칸, 남성전용칸 버스가 필요합니다"
6360,청소년 보호법은 반드시 폐지 되어야 합니다!,청소년 보호법은 반드시 폐지가 되어야 합니다!
6363,역시 이신보다 강신우가 진리!,역시 이신보다도 강신우가 진리!
6372,온보딩 미팅 후에 첫 원온원이었는데 너무 반가웠습니당,온보딩 미팅한 후에 첫 원온원이었는데 너무 반가웠습니당
6384,"꿈만 꾸는 자에게,미래는 없다","꿈만 꾸는 자에게, 미래는 아직 없다"
6387,지분이 많았어야 했는데 고작 친구라서 아쉽습니다..,지분이 많았어야 했는데 고작 친구라서 좀 아쉽습니다..
6388,홍대 누드 모델에 대한 2차 가해가 계속되고 있습니다.,홍대 누드 모델에 대한 2차 가해가 계속되고는 있습니다.
6390,"아..참, 그래도 상의탈의는 확실히 한다.","아.. 참, 그래도 상의탈의는 확실히 확실히 한다."
6391,ㅋㅋ과연… 둘의 전화는 이어질 수 있을 것인가…..,ㅋㅋ과연 … 이 둘의 전화는 이어질 수 있을 것인가 …..
6403,비리요양병원 척결과 요양의료법 개정을 요구합니다,비리요양병원 척결과 함께 요양의료법 개정을 요구합니다
6405,"나가야하는데, 제가 지갑을 안가져와서.. ㅜㅜ","나가야하는데,, 제가 지갑을 안가져와서.. ㅜㅜ"
6408,"마지막 반전을 위한 시간의 지루함...-,-","마지막으로 반전을 위한 시간의 지루함... -, -"
6418,코인이 뭔지는 10이라도 아시나요??,코인이 뭔지는 10이라도 잘 아시나요??
6419,가상화폐 거래소뿐 아니라 완전한 폐지를 원합니다.,가상화폐는 거래소뿐 아니라 완전한 폐지를 원합니다.
6430,두분 배경이 같아서인지 뭔가 한 사무실에 계신것 같은 느낌이 드네요 ^^,두분 배경이 같아서인지 뭔가 한 사무실에 계신것 같은 듯한 느낌이 절로 드네요 ^ ^
6435,월요일에 제가 한번 파토내서 오늘 진행하긴 했지만..,. 월요일에 제가 한번 파토내서 오늘 진행하긴 했지만..
6451,낄까말까는 무조건 끼는 것으로. ㅋㅋ,낄까말까는 무조건 끼는 것으로.. ㅋㅋ
6460,진짜 ㅠㅠ 치명적 굠,아 진짜 ㅠㅠ 치명적
6466,울진군 근남면 오산리의 어촌계의 권리 남용에 대해서 청원합니다,울진군은 근남면 오산리의 어촌계의 권리 남용에 대해서 청원합니다
6481,제로 다크서티보다 완성도 떨어지는 영화,제작비 제로 다크서티보다 완성도 떨어지는 영화
6490,여자들이 잘 안봐서 그런가....,다른 여자들이 잘 안봐서 그런가....
6492,챌린지 와이드 풀업 9개 올립니다 조만간 15개 갑니다!!!!,챌린지 와이드 풀업 9개 올립니다 조만간 챌린지 15개 갑니다!!!!
6501,내가 페제만큼이나 좋아하는 작품...,내가 그 페제만큼이나 좋아하는 작품...
6504,남북정상회담비준을 국민이 직접하도록 청원합니다!,남북정상회담비준을 모든 국민이 직접하도록 청원합니다!
6512,참고하시면 좋을것 같습니다 ㅎㅎㅎ,꼭 참고하시면 좋을것 같습니다 ㅎㅎㅎ
6513,메세지는 분명했고 영화가 끝난 순간 대런 애로노프스키 크레딧이 뜬 순간 소름 돋음....,"메세지는 분명했고, 영화가 끝난 순간 대런 애로노프스키 크레딧이 뜬 순간 소름이 돋음...."
6517,내부에서 한번 사용해보고 괜찮으면 확대하는 것도 좋을 것 같습니다?,그럼 내부에서 한번 사용해보고 괜찮으면 확대하는 것도 좋을 것 같습니다?
6519,이런 귀여운 이메일 주소가 있네요. ㅋㅋ,이런 아주 귀여운 이메일 주소가 있네요. ㅋㅋ
6527,두번 터질수 있으니 주의 부탁드립니다.,두번 터질수 있으니 주의를 부탁드립니다.
6534,양립하지 못하는 워킹맘의 일탈과 가족주의.,양립하지 못하는 워킹맘의 지나친 일탈과 가족주의.
6535,주말에본 우영우 얘기도 했습니당,주말에본 우영우랑 얘기도 했습니당
6541,오잉 여기 저희 아파트 헬스장과 유사도가 너무 높은데...!!!!ㄷㄷ,. 오잉 여기 저희 아파트 헬스장과 유사도가 너무 높은데...!!!! ㄷㄷ
6545,누구를 위한 대체공휴일 인가요? ㅠ,누구를 위한 대체공휴일 인가요?? ㅠ
6552,소급 적용은 안되나요? ㅋ,소급 적용은 안되나요?? ㅋ
6557,개발자가 훨씬 많이 들어왔으면 좋겠다고 이야기하기도 하고 마지막으로는 서로 건강하게 일하자고 다짐하면서 마무리 했네요.,"개발자가 훨씬 많이 들어왔으면 좋겠다고 이야기하기도 하고, 마지막으로는 서로 건강하게 열심히 일하자고 다짐하면서 마무리 했네요."
6565,"살인자, 성범죄자 강력 처벌 요구드립니다.(조두순)","아동 살인자, 성범죄자 강력 처벌 요구드립니다. ( 조두순 )"
6574,"대통령님, 고육지책이라는 운전면허시험제도를 개선해 주십시오.","문재인 대통령님, 고육지책이라는 운전면허시험제도를 개선해 주십시오."
6575,양도세 100% 과세 지금 당장 시행 해주세요!!,양도세 100 % 과세 지금부터 당장 시행 해주세요!!
6576,진챠 귀여운 아이와 함께 일주일 시작함돠!!,진챠 귀여운 아이와 함께 ~ 일주일 시작함돠!!
6585,좋은 장소 공유 부탁 드립니다.,좋은 장소 공유를 부탁 드립니다.
6590,ㅎㅎㅎ 마지막 반전 주의. ㅋ,. ㅎㅎㅎ 마지막 반전 주의. ㅋ
6595,요청받은 일을 처리했을 때 쓸 이모지를 추가했습니다.,그리고 요청받은 일을 처리했을 때 쓸 이모지를 추가했습니다.
6598,꽃보다 시리즈 첨부터 다 봤어요...,꽃보다 시리즈 첨부터 다 써 봤어요...
6606,HUG주택도시보증공사는 대구 수성W의 분양가를 현실에 맞게 합리적으로 책정해 주시기 바랍니다.,HUG주택도시보증공사는 대구 수성W의 분양가를 지역 현실에 맞게 합리적으로 책정 책정해 주시기 바랍니다.
6610,보이피싱 으로 인한 피해 보상금 환원,보이피싱 으로 그로 인한 피해 보상금 환원
6611,"몇주 뒤 2월 중순쯤, 졸업과 전문연 편입이 완료되시고 나면 오피스에서 자주 뵐수 있을 것 같습니다!","그리고 몇주 뒤 2월 중순쯤, 졸업과 전문연 편입이 완료되시고 나면 오피스에서 자주 뵐수가 있을 것 같습니다!"
6615,"1시간짜리 정기권이 너무 짧은 것 같아서, 이번에 2시간짜리로 바꿨습니당 ㅋㅋㅋ ㅎ","1시간짜리는 정기권이라 너무 짧은 것 같아서, 이번에 2시간짜리로 바꿨습니당 ㅋㅋㅋ ㅎ"
6621,유치원 및 보육원의 정부지원금을 해당 부모에게 직접지원하도록 해주세요.,유치원 어린이집 및 보육원의 정부지원금을 해당 부모에게 직접지원하도록 해주세요.
6637,앞으로 업무상으로도 함께 협업할 기회가 많을것 같아 벌써부터 기대되고 든든합니다!!,앞으로 업무상으로도 이와 함께 협업할 기회가 많을것 같아 벌써부터 더욱 기대되고 든든합니다!!
6639,담배는 왜 불법이 아닌가요?,담배는 도대체 왜 불법이 아닌가요?
6646,ㅋㅋ 저 표정 왜저러죠 ㅋ.ㅋ ㅋㅋ,ㅋㅋ ㅋㅋ 저 표정 왜저러죠 ㅋ. ㅋ ㅋㅋ
6657,그러나 통제될 수 있다면 애초에 사랑이 아니다.,그러나 통제될 수 있다면 그건 애초에 사랑이 아니다.
6673,남북한 통일 표준시 통일을 서울표준시로 하는것을 다시 고려해 주세요,남북한 통일 표준시 통일을 서울표준시로 하는것을 다시 고려해 보아 주세요
6695,진짜 죽으란 법은 없군...,진짜 죽으란 그런 법은 없군...
6713,재능없는 감독이란 전혀 듣지 않는 마취약과 같다.,재능없는 감독이란 전혀 듣지 않는 마취약과도 같다.
6714,Pack을 만들지만 다른 기술군의 Pack이라 서로 다른 뷰를 공유하면서 이야기하는 시간이었던 것 같아요.,Pack을 만들지만 다른 기술군의 경우 Pack이라서 서로 다른 뷰를 공유하면서 이야기하는 시간이었던 것 같아요.
6715,와... 정말 한번 보세요.,와... 정말 한번 해 보세요.
6717,정의를 똑바로 알고 말하세요.,이 정의를 똑바로 알고 말하세요.
6734,사랑을 잊지 못하는 사람들에겐 추억과도 같은 영화..,사랑을 잊지를 못하는 사람들에겐 추억과도 같은 영화..
6739,도라에몽의 다른 시리즈와는 다르게 내용이 재미가 없다,도라에몽의 다른 시리즈와는 좀 다르게 내용이 재미가 없다
6742,은평자원순환센터(쓰레기 집하장) 건립 백지화 요구,은평자원순환센터 ( 쓰레기 집하장 ) 건립 계획 백지화 요구
6746,처음에는 이런 시스템이 전혀 없다가 만들어지는 모습을 지켜보니 너무 뿌듯하네요.,처음에는 이런 시스템이 아예 전혀 없다가 만들어지는 모습을 지켜보니 너무도 뿌듯하네요.
6753,만들어주신 배경 잘 쓰고 있습니다 ㅎㅎ,만들어주신 배경 잘 쓰고 있습니다. ㅎㅎ
6754,내일 산행 준비 중입니다.,내일은 산행 준비 중입니다.
6755,남북 과제의 최우선 항목 중 역사공동조사 부분을 꼭 포함하여 주세요.,남북 공동 과제의 최우선 항목들 중 역사공동조사 부분을 꼭 포함하여 주세요.
6768,소방진화용 드론 로봇좀 만들어 주시기 바랍니다.,소방진화용 드론 로봇좀 만들어 주시기를 바랍니다.
6771,혹시 모니터 있는 코워킹 스페이스나 공유오피스 아시는 분 있을까요???,혹시 혹시 모니터 있는 코워킹 스페이스나 공유오피스 아시는 분 있을까요???
6793,ㅋㅋ 아닠ㅋㅋ 제가 왜 대장이에옄ㅋㅋㅋ,ㅋㅋ ㅋㅋ 제가 왜
6795,아니 왜 시청률 점대냐고...,아니 왜 시청률이 점대냐고...
6800,일자리 창출에 대한 의견(국민주 해운회사설립),일자리 창출에 대한 노동계 의견 ( 국민주 해운회사설립 )
6804,T.T 간단한 수정인지는 제가 알지 못합니다;;;,T. T 간단한 수정인지는 아직 제가 알지 못합니다 ; ; ;
6820,와 이번건 난이도 높았다!!!!,와 이번건 난이도가 높았다!!!!
6821,저번에 보여주신 이동형 모니터가 어떤 제품이였죠?,그런데 저번에 보여주신 이동형 모니터가 어떤 제품이였죠?
6836,근로자의날 법정 휴일로 정해주세요...,. 근로자의날 법정 휴일로 정해주세요...
6854,법정공휴일을 근로자도 쉴 수 있도록 법정휴일로 지정해주시면 안되나요?,법정공휴일을 근로자도 편히 쉴 수 있도록 법정휴일로 지정해주시면 안되나요?
